Mes,ID,Público,Nombre,Workflow,Link,Desempeño,Publicado,Cantidad de Leads
2,CA02-3,Delaware,Mother Foca,Enviado a MB,https://drive.google.com/file/d/185s_WwHKvJKJ8WcIsrNwJPnU8Qv6PFhJ/view?usp=sharing,No funcionó,Yes,
2,CA02-2,Delaware,Gloria Trevi xd,Enviado a MB,https://drive.google.com/file/d/1jQWewoSfYouxVM9-bsQNvzUs6kXgjZPU/view?usp=sharing,No funcionó,Yes,
2,CA02-1,Delaware,Agua Agustín 1,Enviado a MB,https://drive.google.com/file/d/152_aKLawizxuzAkkdiuFqYoM8f5GGD3-/view?usp=sharing,No funcionó,Yes,
2,CA02-4,Florida,Logros Florida Barco,Enviado a MB,https://drive.google.com/file/d/1cM4P0-b57jckdFXZ_5LX34Jdy2ycV_f-/view?usp=sharing,No funcionó,Yes,
3,CA03-5,Florida,Sustancias Desagradables FL,Enviado a MB,https://drive.google.com/file/d/1huqzU1NNauEjSlXqeIdWsIHlXauriIL9/view?usp=sharing,Trajo Leads,Yes,
3,CA03-6,Florida,Síntomas FL,Enviado a MB,https://drive.google.com/file/d/1E91GRMZDPpAq8feLA8my5jkhJoJjZqTz/view?usp=sharing,No funcionó,Yes,
3,CA03-4,USA,Agua Limpia en tu Estado,Enviado a MB,https://drive.google.com/file/d/1hkfHfIh58znkJ3ssQUJZSaYHWH7whcEu/view?usp=sharing,No funcionó,Yes,
2,CA02-7,Florida,Agua 5 Florida,Enviado a MB,https://drive.google.com/file/d/1WhlEfpzzLZhyd5wKh7zaJc1TvUPh05kc/view?usp=sharing,No funcionó,Yes,
3,CA03-3,USA,Cabello sedoso y radiante,Enviado a MB,https://drive.google.com/file/d/1Q0hMECGW2HC9BjlMU0lqRCSX7Hfra0F9/view?usp=sharing,No funcionó,Yes,
3,CA03-2,USA,Piel Radiante,Enviado a MB,https://drive.google.com/file/d/1zAU3AUzstSUIEkOEeiNpQZfI1qaA6Ekv/view?usp=sharing,No funcionó,No,
2,CA02-10,Delaware,Pedido Agus-Agua 2 Remake,Enviado a MB,https://drive.google.com/file/d/1bHLut55weXMG1zclb3pSV_ElW0tZRYg4/view?usp=sharing,No funcionó,Yes,
3,CA03-1,Miami,Pedido URGENTE AGUSTIN,Enviado a MB,https://drive.google.com/file/d/1wHTignYt-4Fnmb0lJISRLkTnBhnLg3Dg/view?usp=sharing,No funcionó,Yes,
3,CA03-10,Florida,Top 3 Herramientas FL,Enviado a MB,https://drive.google.com/file/d/1zCcDpxXFMIDMXS16wacgjIL2lvPFIZtJ/view?usp=sharing,No funcionó,Yes,
3,CA03-7,USA,Agua Basado en el FP01-1,Enviado a MB,https://drive.google.com/file/d/1ATvyGCsxJ-pl8kKjJ81mCRfrarr2gEUj/view?usp=sharing,Trajo Citas,Yes,
