Mes,ID,Público,Nombre,Workflow,Link,Desempeño,Publicado,Cantidad de Leads
5,CS05-1,USA,Publicidad engañosa,Enviado a MB,https://drive.google.com/file/d/1m6H6Ab62JugJdX7PvBW7mjVWaNRo5y4l/view?usp=drive_link,No funcionó,Yes,
5,CS05-2,Florida,Volt Solar 01,Enviado a MB,https://drive.google.com/file/d/1MeKCcgQsrvLar2-_ZmKgavnQSm2Qs44x/view?usp=drive_link,No funcionó,Yes,
5,CS05-3,Florida,Volt Solar 02,Enviado a MB,https://drive.google.com/file/d/1ZVQTa1SYzbrZzgn5BQnttyiZGYOaxo9s/view?usp=drive_link,Trajo 2 leads,Yes,
5,CS05-4,Florida,Volt Solar 03,Enviado a MB,https://drive.google.com/file/d/1ZXqHIHFHpQf1C-WyiUAL-JKZ_TnYlHl3/view?usp=drive_link,Trajo 2 leads,Yes,
5,CS05-5,Florida,Volt Solar 04,Enviado a MB,https://drive.google.com/file/d/1c8s9-2xE-IGC9F3ktmFX0XPs1uM91ZOv/view?usp=drive_link,,No,
5,CS05-6,Florida,Volt Solar 05,Enviado a MB,https://drive.google.com/file/d/1uKiRIesblXBhAcSFD4aQzUf2CpRrjTkp/view?usp=drive_link,,No,
1,24KS2-8,Florida,Florida: el sol te sonríe,Enviado a MB,https://drive.google.com/file/d/1CF_eA7emfjykDWqmRD6ocPHQWL-DfOw2/view?usp=sharing,No funcionó,Yes,
2,24KS2-5,Texas,Corto Texas 2024,Enviado a MB,https://drive.google.com/drive/folders/1476wSHxdOV_ejFAfh004eljccqjjLcIs?usp=sharing,No funcionó,Yes,
1,24KS2-1,Las Vegas,Corto Las Vegas 2024,Enviado a MB,https://drive.google.com/file/d/1oUoKpAmjClZRgrFo3XwFqhAVRaCGSEUd/view?usp=sharing,Trajo Citas,Yes,
1,24KS3-1,Maryland,Barco - Maryland hacia el mañana,Enviado a MB,https://drive.google.com/file/d/1wNEDS_eyJGnX1EmPAuR_kKihsX1VfDsH/view?usp=sharing,No funcionó,Yes,
1,24KS2-2,Florida,Barco - Florida hacia el mañana,Enviado a MB,https://drive.google.com/file/d/1OQVn6fKKZcZWlZ9F41fErlHfZbrGqZe_/view?usp=sharing,No funcionó,Yes,
1,24KS2-3,Florida,VAR Amor Florida,Enviado a MB,https://drive.google.com/file/d/1x1Q5st3NV3dr3HQ8JhwTbBxexqW9nNjY/view?usp=sharing,No funcionó,Yes,
1,24KS2-9,Florida,Amor Florida,Enviado a MB,https://drive.google.com/file/d/1hmmCHzZL4jlC_I0dYus6UsM0lnxWJXSY/view?usp=sharing,No funcionó,Yes,
