Mes,ID,Público,Nombre,Workflow,Link,Desempeño,Publicado,Cantidad de Leads
8,CV08-1V,California,"TECHOS Y VENTANS ",VE- En Curso,https://drive.google.com/file/d/17BuYYjv18Vre3Ssfmt74ZMLBUhBX6_Ch/view?usp=sharing,,No,
8,CV08-2V,California,TECHOS Y VENTANAS SE CAE,VE- En Curso,https://drive.google.com/file/d/16zJutaDbjh2xDdvdNqwaU_QLKoBvizDa/view,,No,
8,CV08-3E,California,Techos y ventanas 01,Enviado a MB,https://drive.google.com/file/d/1ul2oPMGYLIlSo_yIycVYkYFBSOcjfAB3/view?usp=drive_link,,No,
8,CV08-4V,California,TECHOS Y VENTANAS CLIMA,VE- Revisión,https://drive.google.com/file/d/18px_xaVxP8f3GDkPpkKtHD7NAJOa1PMb/view?usp=sharing,,No,
8,CV08-5V,California,TECHOS Y VENTANAS DESGASTE,VE- Revisión,https://drive.google.com/file/d/19TbLIL_T80aCJLm8Tmcv5WeAHJiNiCWT/view?usp=sharing,,No,
8,CV08-6V,California,VENTANAS Y VENTANAS ROBOS,VE- Revisión,https://drive.google.com/file/d/1BQjF5wT_6hKKaoycWVH6SunY1csTEIm2/view?usp=sharing,,No,
,CV08-7V,California,VENTANAS DOBLES VS PVC,VE- Revisión,https://drive.google.com/file/d/1BrCUZOiRjWMrGvpEzPDmEoaaPG0FnBZF/view?usp=sharing,,No,
,,,,,,,No,
9,CV09-1E,California,Techos y ventanas 02,VE- Revisión,https://drive.google.com/file/d/1AH4rC57gArPw2Nve1g7hPHTFgJaO7H_n/view?usp=drive_link,,No,
9,CV09-2V,California,"TECHOS Y VENTANAS DUEÑO ",VE- En Curso,https://drive.google.com/file/d/1D3qeHvFiauO_nmPKhm2kmuwyHIqG9GQv/view?usp=sharing,,No,
,,,,,,,No,
9,CV09-3E,California,RMK CV08-3E,VE- Revisión,https://drive.google.com/file/d/1M48Ime5MNL7RbqDrpWpBMocKzNahNaDF/view?usp=drive_link,,No,
9,CV09-4E,California,Techos y ventanas 03,VE- Revisión,https://drive.google.com/file/d/1cIh5y_Qbshl3dh6lkn-fAylhlQvx0TK-/view?usp=drive_link,,No,
9,CV09-5E,California,Techos y ventanas 04,VE- En Curso,,,No,
