Mes,ID,Público,Nombre,Workflow,Link,Desempeño,Publicado,Notas
3,CV03-1,Florida,House 01,VE- Revisión,https://drive.google.com/file/d/11FH_ufgQ3pnxp4Sw7adVyt1Ymb6wBD4t/view?usp=sharing,,No,
6,PA06-1,USA,Public Adjuster 01,Enviado a MB,https://drive.google.com/file/d/137__KHhIfpQWQZ7t6xZloV58XwQsT8mN/view?usp=drive_link,Trajo Leads,Yes,
6,PA06-2,USA,Empresa de Restauración,Enviado a MB,https://drive.google.com/file/d/10y2-YxSN2sgDarJ5PVs73RVAZaBz7BSd/view?usp=drive_link,Trajo Leads,Yes,
6,PA06-3,USA,Public Adjuster 03,Enviado a MB,https://drive.google.com/file/d/18QBEvsuRx5MQWBpLRCboFX7pxRfl1AlM/view?usp=drive_link,,No,
6,PA06-4,USA,Public Adjuster 04,Enviado a MB,https://drive.google.com/file/d/1NrXVBGhekJHTrK1Ev5iYmfD8h6Fb8yf5/view?usp=drive_link,,No,
6,PA06-5,USA,Public Adjuster 05,VE- Revisión,https://drive.google.com/file/d/1bHznyp6zWitoEIJ7L2I9PeDcSalDrF9k/view?usp=drive_link,,No,
6,PA06-5.1,USA,Public Adjuster 05 (SIN STOCK),VE- Revisión,https://drive.google.com/file/d/1c9e-NLi-v5V3FFQ_xfJjmfGQHXjq5ejZ/view?usp=drive_link,,No,
6,PA06-6,USA,Public Adjuster 06,VE- Revisión,https://drive.google.com/file/d/1K2LGES9uORGeqQAtgcfRGsmYGem6T9xQ/view?usp=drive_link,,No,
7,PA06-7,Florida,Precios del seguro al alza,Enviado a MB,https://drive.google.com/file/d/138sMdq6lPpcHp4LZ7AJzs5xpBNC9yUKB/view?usp=drive_link,No funcionó,Yes,
7,PA06-8,Florida,Una nueva ley de Florida,Enviado a MB,https://drive.google.com/file/d/1RrmgUzQ5h-NUWQPZGIzVoLiiRELTa63o/view?usp=drive_link,No funcionó,Yes,
7,PA06-9,Florida,Si tu casa está asegurada,Enviado a MB,https://drive.google.com/file/d/1LK9VAlxSVBawWsUk3NsDCCnT2xPB9EFM/view?usp=drive_link,No funcionó,Yes,
7,PA07-1,Florida,RMK Disney,Enviado a MB,https://drive.google.com/file/d/1ce1QGZiBHXcaLoYRQHdFuo1Qaq8Zi8eK/view?usp=drive_link,Trajo Citas,Yes,
7,PA07-2,Florida,RMK Moho,Enviado a MB,https://drive.google.com/file/d/1dXGBz_NUKDv2EJJWw9WircO5o0snMSen/view?usp=drive_link,No funcionó,Yes,
7,PA07-3,Florida,RMK Temp. de Huracanes,Enviado a MB,https://drive.google.com/file/d/1dOeVQuRsEEDHOCwku99RBuTnlEzjGW2d/view?usp=drive_link,No funcionó,Yes,
